ENROLLMENT ID,ASSOCIATE ID,ORGANIZATION NAME,ASSOCIATE ID - OWNER,TYPE - OWNER,ROLE CODE - OWNER,ROLE TEXT - OWNER,ASSOCIATION DATE - OWNER,FIRST NAME - OWNER,MIDDLE NAME - OWNER,LAST NAME - OWNER,TITLE - OWNER,ORGANIZATION NAME - OWNER,DOING BUSINESS AS NAME - OWNER,ADDRESS LINE 1 - OWNER,ADDRESS LINE 2 - OWNER,CITY - OWNER,STATE - OWNER,ZIP CODE - OWNER,PERCENTAGE OWNERSHIP,CREATED FOR ACQUISITION - OWNER,CORPORATION - OWNER,LLC - OWNER,MEDICAL PROVIDER SUPPLIER - OWNER,MANAGEMENT SERVICES COMPANY - OWNER,MEDICAL STAFFING COMPANY - OWNER,HOLDING COMPANY - OWNER,INVESTMENT FIRM - OWNER,FINANCIAL INSTITUTION - OWNER,CONSULTING FIRM - OWNER,FOR PROFIT - OWNER,NON PROFIT - OWNER,PRIVATE EQUITY COMPANY - OWNER,REIT - OWNER,CHAIN HOME OFFICE - OWNER,OTHER TYPE - OWNER,OTHER TYPE TEXT - OWNER,OWNED BY ANOTHER ORG OR IND - OWNER
O20020813000023,42127045,WEST RIVER HEALTH SERVICES,3072814896,I,40,CORPORATE OFFICER,11/3/2025,KURT,,SARGENT,CHIEF FINANCIAL OFFICER,,,,,,,,0,,,,,,,,,,,,,,,,,,
O20020813000023,42127045,WEST RIVER HEALTH SERVICES,3072814896,I,42,W-2 MANAGING EMPLOYEE,11/3/2025,KURT,,SARGENT,CHIEF FINANCIAL OFFICER,,,,,,,,0,,,,,,,,,,,,,,,,,,
O20020813000023,42127045,WEST RIVER HEALTH SERVICES,6305216268,I,40,CORPORATE OFFICER,10/3/2022,ALYSON,,FREELAND,CHIEF EXECUTIVE OFFICER,,,,,,,,0,,,,,,,,,,,,,,,,,,
O20020813000023,42127045,WEST RIVER HEALTH SERVICES,6305216268,I,42,W-2 MANAGING EMPLOYEE,10/3/2022,ALYSON,,FREELAND,AD;,,,,,,,,0,,,,,,,,,,,,,,,,,,
O20020813000023,42127045,WEST RIVER HEALTH SERVICES,8325163777,I,41,CORPORATE DIRECTOR,9/15/2013,CODY,,JORGENSON,,,,,,,,,,,,,,,,,,,,,,,,,,,
O20020813000023,42127045,WEST RIVER HEALTH SERVICES,8426203522,I,41,CORPORATE DIRECTOR,9/15/2014,JONATHON,,EATON,,,,,,,,,,,,,,,,,,,,,,,,,,,
O20020813000025,42127045,WEST RIVER HEALTH SERVICES,2466797220,I,40,CORPORATE OFFICER,9/28/2011,LYNN,,BROWN,VICE-CHAIRMAN,,,,,,,,,,,,,,,,,,,,,,,,,,
O20020813000025,42127045,WEST RIVER HEALTH SERVICES,3072814896,I,40,CORPORATE OFFICER,11/3/2025,KURT,,SARGENT,CHIEF FINANCIAL OFFICER,,,,,,,,0,,,,,,,,,,,,,,,,,,
O20020813000025,42127045,WEST RIVER HEALTH SERVICES,3072814896,I,42,W-2 MANAGING EMPLOYEE,11/3/2025,KURT,,SARGENT,CHIEF FINANCIAL OFFICER,,,,,,,,0,,,,,,,,,,,,,,,,,,
O20020813000025,42127045,WEST RIVER HEALTH SERVICES,6305216268,I,40,CORPORATE OFFICER,10/3/2022,ALYSON,,FREELAND,CHIEF EXECUTIVE OFFICER,,,,,,,,0,,,,,,,,,,,,,,,,,,
O20020813000025,42127045,WEST RIVER HEALTH SERVICES,6305216268,I,42,W-2 MANAGING EMPLOYEE,10/3/2022,ALYSON,,FREELAND,AD;,,,,,,,,0,,,,,,,,,,,,,,,,,,
O20020813000025,42127045,WEST RIVER HEALTH SERVICES,7719354117,I,41,CORPORATE DIRECTOR,11/2/2020,DAVE,,ERICKSON,WRHS REPRESENTATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,
O20020813000025,42127045,WEST RIVER HEALTH SERVICES,8325163777,I,41,CORPORATE DIRECTOR,9/15/2013,CODY,,JORGENSON,,,,,,,,,,,,,,,,,,,,,,,,,,,
O20020813000025,42127045,WEST RIVER HEALTH SERVICES,8426203522,I,41,CORPORATE DIRECTOR,9/15/2014,JONATHON,,EATON,,,,,,,,,,,,,,,,,,,,,,,,,,,
O20020813000025,42127045,WEST RIVER HEALTH SERVICES,9537536933,I,41,CORPORATE DIRECTOR,11/2/2020,BRETT,,HENDERSON,WRHS REPRESENTATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,
