rpt_rec_num,prvdr_ctrl_type_cd,prvdr_num,npi,rpt_stus_cd,fy_bgn_dt,fy_end_dt,proc_dt,initl_rpt_sw,last_rpt_sw,trnsmtl_num,fi_num,adr_vndr_cd,fi_creat_dt,util_cd,npr_dt,spec_ind,fi_rcpt_dt
717629,1,344028,,2,2022-01-01,2022-01-31,2022-05-19,N,Y,O,11501,4,2022-05-18,N,2022-05-18,,2022-05-16
717969,4,180078,,1,2021-10-01,2021-11-30,2022-05-26,N,N,O,05901,4,2022-05-25,F,,,2022-05-03
719460,2,520210,,1,2021-10-01,2021-12-31,2022-06-20,N,N,O,06001,4,2022-06-14,F,,,2022-06-09
719475,4,063037,,1,2021-10-08,2021-12-31,2022-06-21,Y,N,O,04011,4,2022-06-17,F,,,2022-05-26
719578,2,171382,,1,2021-10-01,2021-12-31,2022-06-22,N,N,O,05001,4,2022-06-17,F,,,2022-06-15
721379,2,340123,,1,2021-10-01,2021-12-31,2022-07-22,N,N,O,11501,4,2022-07-12,F,,,2022-07-11
721615,3,294016,,2,2021-11-30,2021-12-31,2022-07-22,N,N,O,01011,4,2022-07-15,L,2022-07-15,,2022-04-20
722316,9,341307,,1,2021-10-01,2021-12-31,2022-08-02,N,N,O,11501,4,2022-08-01,F,,,2022-07-29
722751,3,524042,,2,2021-11-22,2021-12-31,2022-08-12,Y,N,O,06001,4,2022-08-02,L,2022-08-11,,2022-05-26
724025,1,360081,,1,2022-01-01,2022-02-28,2022-09-16,N,N,O,15201,4,2022-08-31,F,,,2022-08-29
724225,4,451340,,1,2021-10-01,2022-03-31,2022-09-16,N,N,O,04011,4,2022-09-12,F,,,2022-08-25
724351,1,360262,,1,2022-01-01,2022-02-28,2022-09-16,N,N,O,15201,4,2022-08-30,F,,,2022-08-29
724417,4,113035,,2,2021-11-17,2022-02-28,2022-09-16,N,N,O,10001,4,2022-09-12,F,2022-09-15,,2022-07-27
725037,7,430083,,2,2021-10-01,2021-11-23,2022-09-26,N,Y,O,04011,4,2022-09-23,F,2022-09-23,,2022-07-28
725412,2,140058,,1,2021-10-01,2022-04-25,2022-09-29,N,N,O,06101,4,2022-09-22,F,,,2022-09-22
726030,6,033043,,1,2022-02-03,2022-03-31,2022-10-17,N,N,O,03001,4,2022-10-05,F,,,2022-09-01
726572,6,362023,,1,2021-11-01,2022-06-13,2022-10-21,N,N,O,05901,4,2022-10-20,F,,,2022-09-14
726763,4,403025,,2,2022-01-01,2022-05-31,2022-10-27,N,N,O,09001,4,2022-10-26,F,2022-11-21,,2022-09-30
730294,7,320058,,2,2021-10-01,2022-02-01,2022-11-18,N,Y,O,04011,4,2022-11-16,F,2022-11-22,,2022-08-03
730295,7,320070,,2,2021-10-01,2022-02-15,2022-11-18,N,Y,O,04011,4,2022-11-17,F,2022-11-21,,2022-08-01
730319,6,713029,,2,2022-02-18,2022-03-31,2022-11-18,Y,N,O,07001,4,2022-11-16,F,2022-11-22,,2022-09-01
730531,4,060044,,1,2021-11-01,2022-04-30,2022-11-28,N,N,O,04011,4,2022-11-23,F,,,2022-11-15
730689,4,030137,,1,2022-01-01,2022-06-29,2022-12-01,N,N,O,03001,4,2022-11-29,F,,,2022-11-23
730690,5,033034,,1,2022-01-01,2022-07-31,2022-12-01,N,N,O,10001,4,2022-11-30,F,,,2022-11-29
730813,5,143028,,1,2022-01-01,2022-07-31,2022-12-01,N,N,O,10001,4,2022-11-30,F,,,2022-11-29
730814,5,153025,,1,2022-01-01,2022-07-31,2022-12-01,N,N,O,10001,4,2022-11-30,F,,,2022-11-29
730822,4,183027,,1,2022-01-01,2022-07-31,2022-12-01,N,N,O,10001,4,2022-11-30,F,,,2022-11-29
730862,2,373303,,2,2021-11-10,2022-06-30,2022-12-01,Y,N,O,04011,4,2022-11-23,N,2022-12-13,,2022-10-14
730943,4,453029,,1,2022-01-01,2022-07-31,2022-12-01,N,N,O,10001,4,2022-11-30,F,,,2022-11-29
730944,4,453040,,1,2022-01-01,2022-07-31,2022-12-01,N,N,O,10001,4,2022-11-30,F,,,2022-11-29
730968,4,013030,,1,2022-01-01,2022-07-31,2022-12-02,N,N,O,10001,4,2022-11-30,F,,,2022-11-29
730969,4,033025,,1,2022-01-01,2022-07-31,2022-12-02,N,N,O,10001,4,2022-11-30,F,,,2022-11-29
731048,4,033028,,1,2022-01-01,2022-07-31,2022-12-05,N,N,O,10001,4,2022-12-01,F,,,2022-11-29
731049,4,033029,,1,2022-01-01,2022-07-31,2022-12-05,N,N,O,03001,4,2022-11-30,F,,,2022-11-29
731192,4,453059,,1,2022-01-01,2022-07-31,2022-12-06,N,N,O,10001,4,2022-12-01,F,,,2022-11-29
731194,10,490045,,1,2022-01-01,2022-06-30,2022-12-06,N,N,O,11301,4,2022-12-01,F,,,2022-11-29
