ccn,hospital,city,parish,medicaid_prov,medicaid_class,medicare_class,ownership,beds_hcris,fte_employees,lihnc_member,lihnc_joined,in_epic_pipeline,epic_wave,epic_status,epic_est_pricing_m,epic_amb_vol,epic_ip_vol,epic_providers,ehr,forhp_rural,ldh_region,current_ratio_fy2021,current_ratio_fy2022,current_ratio_fy2023,days_cash_fy2021,days_cash_fy2022,days_cash_fy2023,equity_ratio_fy2021,equity_ratio_fy2022,equity_ratio_fy2023,npr_fy2021,npr_fy2022,npr_fy2023,pt_svc_margin_fy2021,pt_svc_margin_fy2022,pt_svc_margin_fy2023,total_margin_fy2021,total_margin_fy2022,total_margin_fy2023,control,stratum,fy_days,zip,medicaid_revenue,medicaid_charges,uncomp_care_cost,cost_to_charge,medicaid_days_share,medicare_days_share,contract_labor,total_salaries,zip_population,zip_classification,ruca_category,broadband_desert_pct,poverty_pct,food_access_pct,no_vehicle_pct,specialty_facilities_zip,acute_facilities_zip,diabetes_prevalence,mco_2024_01,mco_2024_12,mco_2025_12,mco_2026_05,mco_pct_change_24_26,medicaid_pct_npr,medicaid_rev_at_risk,cost_settled,margin_gap_fy2023,days_cash_change_21_23,epic_cost_pct_npr,epic_cost_per_provider,contract_labor_pct_salary,ldh_payment_category,dp_2024,dp_2025,cs_2024,cs_2025,upl_2024,upl_2025,dsh_2024,dsh_2025,discharges_2024,days_2024,adc_2024,rhc_settlement_2025,rhc_clinics_settled,ldh_payments_2025,ldh_payments_2024,ldh_pay_pct_npr,dp_pct_npr,dp_per_adc
190034,Abbeville General Medical Center,ABBEVILLE,VERMILION,1733741.0,Small Rural,,,44.0,387.9,Yes,Aug 2021,Yes,Wave 3+,Unsure,5.6,120494.0,10316.0,92.0,,No,4.0,3.44,4.78,4.9,89.3,97.6,105.8,0.7946,0.8479,0.8642,59238327.0,68481522.0,72096452.0,-0.0472,0.034,0.0075,0.1272,0.1172,0.0843,Gov-Hospital District,Government,364,70510,21810306.0,68160777.0,1317575.0,0.320513,0.0087601078167115,0.2720687331536388,1243430.0,33451086.0,23909,Rural,4,2.61,17.0,4,3.4526764798433622,0,1,9.7,21104,19201,17806,16528,-0.2168,0.3025,4728474.0,True,0.0768,16.5,0.0777,60870.0,0.0372,Small Rural,0.0,12489699.2850304,13891.2,2618.0,0.0,0.0,0.0,0.0,2314.0,10708.0,29.336986301369866,668.0,1.0,12492317.2850304,13891.2,0.1733,0.1732,425732.0
191319,Acadia St. Landry Parish Hospital,CHURCH POINT,ACADIA,1734314.0,Critical Access Hospital (CAH),CAH,Government - Hospital District or Authority,15.0,83.94,Yes,Oct 2021,Yes,Wave 1,Ready to sign LOI,0.9,27327.0,3169.0,14.0,CPSI,Yes,4.0,22.2,4.11,6.39,422.1,79.6,63.2,0.3647,0.9093,0.9477,15186484.0,15546991.0,15945155.0,-0.1513,-0.063,-0.0529,-0.0267,0.0368,0.0242,Gov-Hospital District,Government,365,70525,4246767.0,1568668.0,543000.0,1.181493,0.0044488383588729,0.5941670785961444,,,15333,Rural,10,14.279999999999998,20.3,3,3.426153899504109,0,2,11.3,24991,22771,21105,19328,-0.2266,0.2663,962317.0,True,0.0771,-358.9,0.0564,64286.0,,Critical Access Hospital (CAH),0.0,1803852.5235611384,205.0,3874.0,0.0,0.0,0.0,0.0,454.0,2528.0,6.926027397260274,0.0,,1807726.5235611384,205.0,0.1134,0.1131,260445.0
190318,Acadian Medical Center,Eunice,ST LANDRY,,Other Rural,IPPS,,49.0,210.0,No,,No,,,,,,,,,,8.56,1.49,0.78,0.6,-0.8,-0.8,-0.4658,,,30967998.0,32930628.0,32405556.0,-0.0907,-0.1159,-0.3391,-0.0709,-0.0455,-0.1223,Proprietary-Corp,Proprietary,364,70535,6272598.0,100030056.0,485362.0,0.175457,0.4002016129032258,0.2856854838709677,,17489317.0,17813,Rural,4,3.42,22.6,11,3.6185724320003874,0,2,9.0,40896,37306,34958,32028,-0.2168,0.1936,1359899.0,False,0.2168,-1.4,,,,Other Rural,0.0,8178377.455168805,0.0,236.0,0.0,0.0,0.0,0.0,1286.0,6378.0,17.473972602739725,0.0,,8178613.455168805,0.0,0.2524,0.2524,468032.0
190133,Allen Parish Hospital,Kinder,ALLEN,1734691.0,Small Rural,IPPS,,25.0,80.76,Yes,Feb 2021,Yes,Wave 1,LOI signed,1.2,13225.0,8627.0,20.0,CPSI,Yes,5.0,1.16,0.94,0.54,187.1,118.6,168.7,0.3589,0.5504,0.3909,14393044.0,14625476.0,16598511.0,-1.7166,-0.5493,-0.3377,0.0538,0.0791,0.0445,Gov-Hospital District,Government,365,70648,8875973.0,13282114.0,238815.0,0.499526,0.0085186938002839,0.3577851396119261,697966.0,8730244.0,6994,Rural,2,18.2,21.6,11,2.732695850513203,0,1,9.2,7971,7205,6554,6087,-0.2364,0.5347,2098280.0,True,0.3822,-18.4,0.0723,60000.0,0.0799,Small Rural,0.0,3885443.7064936254,1616.0,0.0,0.0,0.0,0.0,0.0,1196.0,7621.0,20.87945205479452,0.0,,3885443.7064936254,1616.0,0.2341,0.2341,186089.0
190779,Assumption Community Hospital,Napoleonville,ASSUMPTION,1700070.0,REH/Small Rural,REH,,,,No,,No,,,,,,,,,,,,3.21,,,442.3,,,0.7982,,,10085161.0,,,0.1324,,,0.3743,Nonprofit-Church,Nonprofit,332,70390,,,,0.716114,,,,,7397,Rural,10,1.1,18.8,1,3.5932975744054683,0,3,10.0,6377,5625,5215,4776,-0.2511,,,True,0.2419,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,
190099,Avoyelles Community Hospital,Marksville,AVOYELLES,1730530.0,Small Rural,IPPS,,39.0,316.0,No,,No,,,,,,,,,,,1.63,1.4,71.2,-38.4,78.7,0.9949,-0.2645,0.0344,22453684.0,24176102.0,31069724.0,-0.2405,-0.1921,-0.0467,0.049,-0.0421,0.1014,Proprietary-Corp,Proprietary,365,71351,4920242.0,39693978.0,42890.0,0.241814,0.0889348500517063,0.4203722854188211,,15375218.0,11494,Rural,7,3.9900000000000007,24.4,12,3.640365301424271,0,1,9.7,16887,15464,14512,13407,-0.2061,0.1584,1014062.0,True,0.1481,7.5,,,,Small Rural,0.0,3073224.353483173,13939.0,5849.0,0.0,0.0,0.0,0.0,443.0,1934.0,5.298630136986302,0.0,,3079073.353483173,13939.0,0.0991,0.0989,580004.0
190065,Baton Rouge General Medical Center,BATON ROUGE,EAST BATON ROUGE,,,,,256.0,2134.21,Yes,2020-02-01 00:00:00,No,,,,,,,EPIC,No,2.0,2.26,3.39,4.8,73.2,74.3,79.5,0.5667,0.6101,0.6707,425512632.0,445494840.0,493379410.0,-0.0226,-0.0688,-0.0867,0.084,0.0109,0.0612,Nonprofit-Other,Nonprofit,364,70809,38980334.0,226368607.0,8006260.0,0.267839,0.027076049910039,0.2162427043868759,7448039.0,150907370.0,25649,Urban,1,1.84,17.7,12,2.952666225028556,6,1,10.9,146729,132666,122415,111113,-0.2427,0.079,9460527.0,False,0.1479,6.3,,,0.0494,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,
191310,Bayou Bend,FRANKLIN,ST MARY,1720062.0,Critical Access Hospital (CAH),CAH,Government - Hospital District or Authority,25.0,182.0,No,,No,,,,,,,,,,15.44,7.41,6.32,399.6,291.7,229.9,0.8329,0.8486,0.8699,18923420.0,19960076.0,21272256.0,-0.5713,-0.689,-0.7565,0.1998,0.1623,0.1772,Gov-Hospital District,Government,364,70538,7471569.0,13871802.0,772289.0,1.0,0.00431344356578,0.3461538461538461,,,12561,Rural,7,1.33,23.8,10,4.226900680050495,0,1,12.0,21150,19082,17642,16086,-0.2394,0.3512,1788694.0,True,0.9337,-169.7,,,,Critical Access Hospital (CAH),0.0,4885816.855684429,40286.0,3795.0,869343.0,1045252.0,0.0,0.0,444.0,1574.0,4.312328767123288,0.0,,5934863.855684429,909629.0,0.279,0.2297,1132988.0
190050,Beauregard Memorial Hospital,Deridder,BEAUREGARD,1720038.0,Small Rural,IPPS,,49.0,317.71,Yes,March 2022,No,,,,,,,Meditech,Yes,5.0,2.82,4.1,3.42,82.2,12.7,39.0,0.8402,0.8895,0.8287,38301246.0,44216031.0,44718745.0,-0.2941,-0.3709,-0.3198,0.0715,-0.0111,-0.0129,Gov-Hospital District,Government,364,70634,13607103.0,55636667.0,50326.0,0.249095,0.2606284658040665,0.3440388170055453,3040495.0,23376759.0,25038,Rural,4,38.4,14.3,21,2.024457636856072,1,2,9.2,12535,11252,10179,9275,-0.2601,0.3043,3539207.0,True,0.3069,-43.2,,,0.1301,Small Rural,0.0,12851736.700656043,5588.0,1342.0,0.0,0.0,0.0,0.0,1184.0,4704.0,12.887671232876713,0.0,,12853078.700656043,5588.0,0.2874,0.2874,997212.0
191320,Bienville Medical Center,ARCADIA,BIENVILLE,1707023.0,Critical Access Hospital (CAH),CAH,Proprietary,21.0,71.0,No,,No,,,,,,,,,,1.19,0.24,0.45,108.9,-0.3,10.6,0.1848,-2.7559,-1.1281,6675527.0,9821614.0,11649614.0,-0.9127,-0.1464,-0.0485,-0.671,0.2682,0.001,Proprietary-Corp,Proprietary,364,71001,,,27031.0,0.581486,0.005507474429583,0.7934697088906373,,4971190.0,4209,Rural,10,60.65999999999999,24.4,19,5.371199259144929,0,2,8.5,5961,5436,4915,4471,-0.25,,,True,0.0495,-98.3,,,,Critical Access Hospital (CAH),0.0,871852.0159228097,1473.0,0.0,0.0,0.0,0.0,0.0,21.0,82.0,0.2246575342465753,0.0,,871852.0159228097,1473.0,0.0748,0.0748,3880805.0
