fy,ccn,hcris_name,hcris_city,hcris_class,fy_days,fy_end,control,npr,other_income,total_assets,fund_bal,cash,opex,days_cash,pt_svc_margin,total_margin,other_income_pct_npr,equity_ratio,current_ratio,hospital,ccn_use,medicare_class_chqpr,lihnc_member,in_epic_pipeline,epic_wave,parish,stratum
2021,191302,ST MARTIN HOSPITAL,Breaux Bridge,CAH,364,09/30/2021,Gov-Hospital District,26525765.0,2623714.0,47784828.0,35520455.0,14448.0,27546516.0,0.2,-0.0385,0.055,0.0989,0.7433,7.57,Ochsner St Martin Hospital,191302,CAH,No,No,,ST MARTIN,Government
2021,191316,POINTE COUPEE GENERAL HOSPITAL,New Roads,CAH,364,10/31/2021,Gov-Hospital District,15377257.0,10664117.0,53073153.0,45640285.0,2636326.0,18959006.0,53.0,-0.2329,0.1991,0.6935,0.86,3.51,Pointe Coupee General Hospital,191316,CAH,Yes,No,,POINTE COUPEE,Government
2021,191315,HARDTNER MEDICAL CENTER,Olla,CAH,364,09/30/2021,Gov-Hospital District,37776679.0,8682482.0,44408315.0,29506294.0,7140815.0,41295328.0,65.8,-0.0931,0.1111,0.2298,0.6644,2.33,Hardtner Medical Center,191315,CAH,No,No,,LASALLE,Government
2021,191324,OCHSNER BAYOU  LLC,Raceland,CAH,364,12/31/2021,Nonprofit-Other,93770683.0,5882810.0,37976408.0,35641651.0,103704.0,90137632.0,0.4,0.0387,0.0955,0.0627,0.9385,,Ochsner St. Anne General Hospital,191324,CAH,No,No,,LAFOURCHE,Nonprofit
2021,191321,LALLIE KEMP REGIONAL MEDICAL CENTER,Indendence,CAH,364,06/30/2022,Gov-State,31944329.0,0.0,14408311.0,11564766.0,-4155659.0,50882637.0,-30.3,-0.5929,-0.5929,0.0,0.8026,3.07,Lallie Kemp Medical Center,191321,CAH,No,No,,TANGIPAHOA,Government
2021,191304,NORTH CADDO MEDICAL CENTER,Vivian,CAH,364,06/30/2022,Gov-Hospital District,24662750.0,8675956.0,51401793.0,28366258.0,14643385.0,28821433.0,199.5,-0.1686,0.1355,0.3518,0.5519,5.68,North Caddo Memorial Hospital,191304,CAH,No,No,,CADDO,Government
2021,191312,CHRISTUS COUSHATTA HEALTH CARE CTR,Coushatta,CAH,364,06/30/2022,Nonprofit-Church,24770365.0,355189.0,9104626.0,8185846.0,289886.0,22551509.0,4.9,0.0896,0.1024,0.0143,0.8991,3.36,Christus Coushatta Health Care Center,191312,CAH,No,No,,RED RIVER,Nonprofit
2021,191317,JACKSON PARISH HOSPITAL,Jonesboro,CAH,364,09/30/2021,Gov-Hospital District,18517640.0,12910241.0,24689418.0,22380144.0,13593351.0,23639855.0,217.0,-0.2766,0.2478,0.6972,0.9065,7.69,Jackson Parish Hospital,191317,CAH,No,Yes,Wave 3+,JACKSON,Government
2021,191310,FRANKLIN FOUNDATION HOSPITAL,Franklin,CAH,364,09/30/2021,Gov-Hospital District,18923420.0,18235853.0,53335704.0,44424396.0,31029382.0,29734083.0,399.6,-0.5713,0.1998,0.9637,0.8329,15.44,Bayou Bend,191310,CAH,No,No,,ST MARY,Government
2021,190106,OAKDALE COMMUNITY HOSPITAL,Oakdale,STH,364,03/31/2022,Proprietary-Corp,21785608.0,1783400.0,730738.0,-1856944.0,-671253.0,22333277.0,-11.0,-0.0251,0.0524,0.0819,-2.5412,6.52,Oakdale Community Hospital,190106,IPPS,No,No,,ALLEN,Proprietary
2021,191318,TRINITY MEDICAL,Ferriday,CAH,364,09/30/2021,Gov-Hospital District,20088177.0,9163133.0,71969673.0,12783599.0,8740293.0,24748488.0,138.3,-0.232,0.1282,0.4561,0.1776,4.28,Trinity Medical,191318,CAH,No,Yes,Wave 2,CONCORDIA,Government
2021,191309,HOOD MEMORIAL HOSPITAL,Amite,CAH,364,09/30/2021,Gov-Hospital District,18669790.0,9843036.0,18881941.0,14462237.0,11801731.0,19468164.0,225.3,-0.0428,0.3172,0.5272,0.7659,3.45,Hood Memorial Hospital,191309,CAH,Yes,Yes,Wave 2,TANGIPAHOA,Government
2021,191322,OCHSNER - ABROM KAPLAN MH,Kaplan,CAH,364,09/30/2021,Gov-County,19691658.0,4079756.0,24466470.0,14825872.0,968.0,21084904.0,0.0,-0.0708,0.1129,0.2072,0.606,3.49,Ochsner Abrom Kaplan Memorial Hospital,191322,CAH,No,No,,VERMILION,Government
