payment_source_name,ldh_payment_category,dp_2024,dp_2025,cs_2024,cs_2025,upl_2024,upl_2025,dsh_2024,dsh_2025,ccn,discharges_2024,days_2024,adc_2024
Acadian Medical Center,Other Rural,,8178377.455168805,,236.0,,,,,190318,1286.0,6378.0,17.473972602739725
Abbeville General Hospital,Small Rural,,12489699.2850304,13891.2,2618.0,,,,,190034,2314.0,10708.0,29.336986301369862
Acadia St Landry Hospital,Critical Access Hospital (CAH),,1803852.5235611382,205.0,3874.0,,,,,191319,454.0,2528.0,6.926027397260274
Allen Parish Hospital,Small Rural,,3885443.7064936254,1616.0,,,,,,190133,1196.0,7621.0,20.87945205479452
Assumption Community Hospital,REH/Small Rural,,2472259.7013664367,15815.0,1945.0,,,,,191303,0.0,0.0,0.0
Avoyelles Hospital,Small Rural,,3073224.3534831735,13939.0,5849.0,,,,,190099,443.0,1934.0,5.298630136986302
Bayou Bend (Franklin Foundation Hospital),Critical Access Hospital (CAH),,4885816.855684429,40286.0,3795.0,869343.0,1045252.0,,,191310,444.0,1574.0,4.3123287671232875
Beauregard Memorial Hospital,Small Rural,,12851736.700656045,5588.0,1342.0,,,,,190050,1184.0,4704.0,12.887671232876713
Bienville Medical Center,Critical Access Hospital (CAH),,871852.0159228097,1473.0,,,,,,191320,21.0,82.0,0.22465753424657534
Bunkie General Hospital,Critical Access Hospital (CAH),,2308342.794855477,4047.0,,,,,,191311,30.0,95.0,0.2602739726027397
Byrd Regional Hospital,Small Rural,,8072210.032233211,,170.0,,,,,190164,1666.0,7307.0,20.019178082191782
Caldwell Memorial Hospital,Small Rural,,2264818.787275378,,95.0,,,,,190190,374.0,4082.0,11.183561643835617
Christus Coushatta Health Care Center,Critical Access Hospital (CAH),,3791431.143353812,,23258.0,,,,,191312,500.0,2089.0,5.723287671232876
Citizens Medical Center,Small Rural,,2689699.7357544736,2158.0,334.0,,,,,190184,371.0,1505.0,4.123287671232877
Claiborne Memorial Medical Ctr. (PayTo: Homer Memorial Hospital),Small Rural,,4227952.363223594,709.0,,,,,,190114,886.0,3987.0,10.923287671232877
DeQuincy Memorial Hospital,Critical Access Hospital (CAH),,1381146.6280382532,,,,,,,191307,233.0,2242.0,6.142465753424657
DeSoto Regional Health System,Sole Community Hopsital (SCH)/Small Rural,,3740523.4283565767,18595.0,16411.0,,,,,190118,372.0,1686.0,4.619178082191781
East Carroll Parish Hospital,Small Rural,,2345910.80244884,,,,,,,190208,187.0,709.0,1.9424657534246574
Franklin Medical Center,Small Rural,,5764458.78424624,15086.0,7583.0,,,,,190140,619.0,2897.0,7.936986301369863
Hardtner Medical Center,Critical Access Hospital (CAH),,4345498.738827794,34561.6,,,,,,191315,407.0,2210.0,6.054794520547945
