ZIP Code,City/Parish,Population,Classification,Passes Active Filters,Rural Designation (RUCA Category),Broadband Deserts,Social Vulnerability (Poverty),Social Vulnerability (Food Access),Transportation (Vehicle Ownership),Healthcare Facility (Specialty),Healthcare Facility (Acute),Diabetes Prevalence,Population
70001,70001,39193,Urban,Yes,1,0.44,14.6,5,2.9032191502873874,0,1,10.5,39193
70002,70002,19240,Urban,Yes,1,0.44,14.6,5,2.9032191502873874,0,2,10.5,19240
70003,70003,39714,Urban,Yes,1,0.44,14.6,5,2.9032191502873874,0,0,10.5,39714
70005,70005,23257,Urban,Yes,1,0.44,14.6,5,2.9032191502873874,0,0,10.5,23257
70006,70006,16013,Urban,Yes,1,0.44,14.6,5,2.9032191502873874,0,1,10.5,16013
70030,70030,4028,Urban,Yes,2,2.67,11.1,11,1.1879442815811154,0,0,9.6,4028
70031,70031,1473,Urban,Yes,2,2.67,11.1,11,1.1879442815811154,0,0,9.6,1473
70032,70032,4436,Urban,Yes,1,2.3,19.2,16,2.5705072891593623,0,0,11.1,4436
70036,70036,688,Urban,Yes,2,0.44,14.6,5,2.9032191502873874,0,0,10.5,688
70037,70037,16792,Urban,Yes,1,17.67,15.1,20,1.8665522420081528,0,0,8,16792
70038,70038,29,Rural,Yes,10,17.67,15.1,20,1.8665522420081528,0,0,8,29
70039,70039,2248,Urban,Yes,1,2.67,11.1,11,1.1879442815811154,0,0,9.6,2248
70040,70040,978,Urban,Yes,2,17.67,15.1,20,1.8665522420081528,0,0,8,978
70041,70041,2092,Rural,Yes,10,17.67,15.1,20,1.8665522420081528,0,0,8,2092
70043,70043,22461,Urban,Yes,1,2.3,19.2,16,2.5705072891593623,0,1,11.1,22461
70047,70047,13354,Urban,Yes,1,2.67,11.1,11,1.1879442815811154,0,0,9.6,13354
70049,70049,1521,Urban,Yes,2,0.04,16,13,1.469537464869242,0,0,10.6,1521
70050,70050,0,Urban,Yes,2,17.67,15.1,20,1.8665522420081528,0,0,8,0
70051,70051,1913,Urban,Yes,1,0.04,16,13,1.469537464869242,0,0,10.6,1913
70052,70052,2931,Urban,Yes,1,0.84,16.6,9,3.1508213041314086,0,0,11,2931
70053,70053,16409,Urban,Yes,1,0.44,14.6,5,2.9032191502873874,0,0,10.5,16409
70056,70056,42471,Urban,Yes,1,0.44,14.6,5,2.9032191502873874,2,0,10.5,42471
70057,70057,4475,Urban,Yes,1,2.67,11.1,11,1.1879442815811154,0,0,9.6,4475
70058,70058,39690,Urban,Yes,1,0.44,14.6,5,2.9032191502873874,0,0,10.5,39690
70062,70062,17765,Urban,Yes,1,0.44,14.6,5,2.9032191502873874,0,0,10.5,17765
70065,70065,48979,Urban,Yes,1,0.44,14.6,5,2.9032191502873874,1,2,10.5,48979
70066,70066,44787,Urban,Yes,1,2.67,11.1,11,1.1879442815811154,0,0,9.6,44787
70067,70067,2687,Urban,Yes,2,0.44,14.6,5,2.9032191502873874,0,0,10.5,2687
70068,70068,33041,Urban,Yes,1,0.04,16,13,1.469537464869242,1,0,10.6,33041
70070,70070,13873,Urban,Yes,1,2.67,11.1,11,1.1879442815811154,0,1,9.6,13873
70071,70071,3123,Urban,Yes,1,0.84,16.6,9,3.1508213041314086,2,2,11,3123
70072,70072,55641,Urban,Yes,1,0.44,14.6,5,2.9032191502873874,1,1,10.5,55641
70075,70075,5349,Urban,Yes,1,2.3,19.2,16,2.5705072891593623,0,0,11.1,5349
70076,70076,132,Urban,Yes,1,0.04,16,13,1.469537464869242,0,0,10.6,132
70079,70079,2822,Urban,Yes,1,2.67,11.1,11,1.1879442815811154,0,0,9.6,2822
70080,70080,744,Urban,Yes,2,2.67,11.1,11,1.1879442815811154,0,0,9.6,744
70082,70082,552,Urban,Yes,2,17.67,15.1,20,1.8665522420081528,0,0,8,552
70083,70083,2456,Urban,Yes,2,17.67,15.1,20,1.8665522420081528,0,0,8,2456
70084,70084,5273,Urban,Yes,1,0.04,16,13,1.469537464869242,0,0,10.6,5273
70085,70085,4952,Urban,Yes,1,2.3,19.2,16,2.5705072891593623,0,0,11.1,4952
70086,70086,1516,Urban,Yes,2,0.84,16.6,9,3.1508213041314086,0,0,11,1516
70087,70087,6939,Urban,Yes,1,2.67,11.1,11,1.1879442815811154,0,0,9.6,6939
70090,70090,7471,Urban,Yes,2,0.84,16.6,9,3.1508213041314086,0,0,11,7471
70091,70091,361,Rural,Yes,10,17.67,15.1,20,1.8665522420081528,0,0,8,361
70092,70092,6784,Urban,Yes,1,2.3,19.2,16,2.5705072891593623,0,0,11.1,6784
70094,70094,32031,Urban,Yes,1,0.44,14.6,5,2.9032191502873874,0,0,10.5,32031
70112,70112,3646,Urban,Yes,1,0.7,23.5,9,7.132867868183634,0,2,10.3,3646
70113,70113,9888,Urban,Yes,1,0.7,23.5,9,7.132867868183634,0,0,10.3,9888
70114,70114,22132,Urban,Yes,1,0.7,23.5,9,7.132867868183634,0,0,10.3,22132
70115,70115,31737,Urban,Yes,1,0.7,23.5,9,7.132867868183634,2,1,10.3,31737
70116,70116,10377,Urban,Yes,1,0.7,23.5,9,7.132867868183634,0,0,10.3,10377
70117,70117,26250,Urban,Yes,1,0.7,23.5,9,7.132867868183634,0,0,10.3,26250
70118,70118,36061,Urban,Yes,1,0.7,23.5,9,7.132867868183634,2,0,10.3,36061
70119,70119,36167,Urban,Yes,1,0.7,23.5,9,7.132867868183634,1,0,10.3,36167
70121,70121,10853,Urban,Yes,1,0.44,14.6,5,2.9032191502873874,2,1,10.5,10853
70122,70122,35318,Urban,Yes,1,0.7,23.5,9,7.132867868183634,0,0,10.3,35318
70123,70123,27209,Urban,Yes,1,0.44,14.6,5,2.9032191502873874,1,0,10.5,27209
70124,70124,20840,Urban,Yes,1,0.7,23.5,9,7.132867868183634,0,0,10.3,20840
70125,70125,18422,Urban,Yes,1,0.7,23.5,9,7.132867868183634,0,0,10.3,18422
70126,70126,28690,Urban,Yes,1,0.7,23.5,9,7.132867868183634,0,0,10.3,28690
70127,70127,24769,Urban,Yes,1,0.7,23.5,9,7.132867868183634,0,1,10.3,24769
70128,70128,22973,Urban,Yes,1,0.7,23.5,9,7.132867868183634,2,0,10.3,22973
70129,70129,10219,Urban,Yes,1,0.7,23.5,9,7.132867868183634,0,0,10.3,10219
70130,70130,12883,Urban,Yes,1,0.7,23.5,9,7.132867868183634,0,2,10.3,12883
70131,70131,25460,Urban,Yes,1,0.7,23.5,9,7.132867868183634,0,0,10.3,25460
70163,70163,0,Urban,Yes,1,0.7,23.5,9,7.132867868183634,0,0,10.3,0
70301,70301,48820,Urban,Yes,1,0.56,17.5,8,3.0065830076116025,0,1,11.2,48820
70339,70339,4510,Urban,Yes,2,1.1,18.8,1,3.5932975744054683,0,0,10,4510
70341,70341,3857,Urban,Yes,2,1.1,18.8,1,3.5932975744054683,0,0,10,3857
70342,70342,4732,Rural,Yes,4,1.33,23.8,10,4.226900680050495,0,0,12,4732
70343,70343,5271,Urban,Yes,1,0.31,19,11,3.0258492403226103,0,0,13.2,5271
70344,70344,5151,Urban,Yes,1,0.31,19,11,3.0258492403226103,0,0,13.2,5151
70345,70345,8678,Rural,Yes,4,0.56,17.5,8,3.0065830076116025,0,2,11.2,8678
70346,70346,9831,Urban,Yes,2,1.03,9.6,10,1.3530435604419837,0,2,10.5,9831
70353,70353,522,Rural,Yes,1,0.31,19,11,3.0258492403226103,0,0,13.2,522
70354,70354,3547,Rural,Yes,4,0.56,17.5,8,3.0065830076116025,0,0,11.2,3547
70355,70355,1040,Urban,Yes,2,0.56,17.5,8,3.0065830076116025,0,0,11.2,1040
70356,70356,1473,Urban,Yes,2,0.31,19,11,3.0258492403226103,0,0,13.2,1473
70357,70357,2401,Rural,Yes,4,0.56,17.5,8,3.0065830076116025,0,0,11.2,2401
