parish,mco_2024_01,mco_2024_12,mco_2025_12,mco_2026_05,mco_pct_change_24_26
ACADIA,24991,22771,21105,19328,-0.2266
ALLEN,7971,7205,6554,6087,-0.2364
ASCENSION,32243,28876,26871,24657,-0.2353
ASSUMPTION,6377,5625,5215,4776,-0.2511
AVOYELLES,16887,15464,14512,13407,-0.2061
BEAUREGARD,12535,11252,10179,9275,-0.2601
BIENVILLE,5961,5436,4915,4471,-0.25
BOSSIER,35113,31630,28899,26042,-0.2583
CADDO,92659,83302,75542,68201,-0.264
CALCASIEU,67323,61240,56764,51801,-0.2306
CALDWELL,4409,3988,3651,3301,-0.2513
CAMERON,742,650,564,457,-0.3841
CATAHOULA,4118,3637,3288,2932,-0.288
CLAIBORNE,5076,4576,4207,3809,-0.2496
CONCORDIA,8962,8222,7319,6650,-0.258
DESOTO,9851,8973,8051,7289,-0.2601
EAST BATON ROUGE,146729,132666,122415,111113,-0.2427
EAST CARROLL,3490,3181,2870,2624,-0.2481
EAST FELICIANA,6547,5853,5254,4821,-0.2636
EVANGELINE,14251,12991,12043,10858,-0.2381
FRANKLIN,9750,8918,8105,7278,-0.2535
GRANT,7356,6579,6042,5552,-0.2452
IBERIA,30432,27903,25781,23700,-0.2212
IBERVILLE,11791,10606,9822,8930,-0.2426
JACKSON,4842,4295,3979,3518,-0.2734
JEFFERSON,145328,129178,117694,105138,-0.2765
JEFFERSON DAVIS,11371,10255,9358,8475,-0.2547
LAFAYETTE,75933,69446,64894,60195,-0.2073
LAFOURCHE,28441,25582,23856,21824,-0.2327
LASALLE,5023,4510,4111,3709,-0.2616
LINCOLN,14566,13188,12304,11028,-0.2429
LIVINGSTON,43956,39854,36670,33317,-0.242
MADISON,5411,4944,4380,3856,-0.2874
MOREHOUSE,12444,11279,10161,9110,-0.2679
NATCHITOCHES,14125,12832,11902,10869,-0.2305
ORLEANS,141279,124037,111438,99591,-0.2951
OUACHITA,64597,58794,53935,48556,-0.2483
PLAQUEMINES,6620,5671,4949,4392,-0.3366
POINTE COUPEE,7238,6550,6052,5529,-0.2361
RAPIDES,49615,44603,40895,37143,-0.2514
RED RIVER,3683,3281,3028,2731,-0.2585
RICHLAND,9154,8162,7546,6707,-0.2673
SABINE,8587,7671,7018,6390,-0.2559
ST BERNARD,18971,16859,15309,13859,-0.2695
ST CHARLES,13404,11696,10623,9666,-0.2789
ST HELENA,3169,2890,2746,2566,-0.1903
ST JAMES,6956,6108,5618,5089,-0.2684
ST JOHN,17252,15454,14106,12958,-0.2489
ST LANDRY,40896,37306,34958,32028,-0.2168
ST MARTIN,18810,17180,15879,14531,-0.2275
ST MARY,21150,19082,17642,16086,-0.2394
ST TAMMANY,67629,60534,55017,49650,-0.2658
TANGIPAHOA,57200,52451,48793,44570,-0.2208
TENSAS,1918,1738,1603,1477,-0.2299
TERREBONNE,40779,36770,33799,30669,-0.2479
UNION,9016,7983,7243,6529,-0.2758
VERMILION,21104,19201,17806,16528,-0.2168
VERNON,13503,12087,11000,9748,-0.2781
WASHINGTON,20982,19236,17726,16107,-0.2323
WEBSTER,15060,13552,12298,11252,-0.2529
WEST BATON ROUGE,8645,7770,7200,6545,-0.2429
WEST CARROLL,4728,4161,3693,3288,-0.3046
WEST FELICIANA,2938,2620,2355,2138,-0.2723
WINN,4833,4385,4031,3558,-0.2638
