ccn,hospital,parish,medicare_class_chqpr,medicaid_class,ownership,lihnc_member,in_epic_pipeline,epic_wave,epic_status,epic_est_pricing_m,epic_amb_vol,epic_ip_vol,epic_providers
190034,Abbeville General Medical Center,VERMILION,,Small Rural,,Yes,Yes,Wave 3+,Unsure,5.6,120494.0,10316.0,92.0
191319,Acadia St. Landry Parish Hospital,ACADIA,CAH,Critical Access Hospital (CAH),Government - Hospital District or Authority,Yes,Yes,Wave 1,Ready to sign LOI,0.9,27327.0,3169.0,14.0
190318,Acadian Medical Center,ST LANDRY,IPPS,Other Rural,,No,No,,,,,,
190133,Allen Parish Hospital,ALLEN,IPPS,Small Rural,,Yes,Yes,Wave 1,LOI signed,1.2,13225.0,8627.0,20.0
190779,Assumption Community Hospital,ASSUMPTION,REH,REH/Small Rural,,No,No,,,,,,
190099,Avoyelles Community Hospital,AVOYELLES,IPPS,Small Rural,,No,No,,,,,,
190065,Baton Rouge General Medical Center,EAST BATON ROUGE,,,,Yes,No,,,,,,
191310,Bayou Bend,ST MARY,CAH,Critical Access Hospital (CAH),Government - Hospital District or Authority,No,No,,,,,,
190050,Beauregard Memorial Hospital,BEAUREGARD,IPPS,Small Rural,,Yes,No,,,,,,
191320,Bienville Medical Center,BIENVILLE,CAH,Critical Access Hospital (CAH),Proprietary,No,No,,,,,,
191311,Bunkie General Medical Center,AVOYELLES,CAH,Critical Access Hospital (CAH),Government - Hospital District or Authority,Yes,Yes,Wave 1,LOI signed,0.2,24272.0,2372.0,4.0
190164,Byrd Regional Hospital,VERNON,IPPS,Small Rural,,No,No,,,,,,
190190,"Caldwell Memorial Hospital, Inc",CALDWELL,IPPS,Small Rural,,No,Yes,Wave 2,Meeting pending,0.6,8451.0,2894.0,15.0
191312,Christus Coushatta Health Care Center,RED RIVER,CAH,Critical Access Hospital (CAH),Voluntary non-profit - Private,No,No,,,,,,
190184,Citizens Medical Center,CALDWELL,IPPS,Small Rural,,Yes,Yes,Wave 2,Interested,2.0,11263.0,4834.0,32.0
190114,Claiborne Memorial Medical Ctr.,CLAIBORNE,IPPS,Small Rural,,No,Yes,Wave 3+,Tentative,1.1,18452.0,7972.0,18.0
191307,Dequincy Memorial Hospital,CALCASIEU,CAH,Critical Access Hospital (CAH),Proprietary,No,No,,,,,,
190118,Desoto Regional Health System,DESOTO,SCH,Sole Community Hospital (SCH)/Small Rural,,No,Yes,Wave 3+,Unsure,4.6,45000.0,1376.0,75.0
190208,East Carroll Parish Hospital,EAST CARROLL,IPPS,Small Rural,,No,No,,,,,,
190140,Franklin Medical Center,FRANKLIN,IPPS,Small Rural,,Yes,Yes,Wave 1,LOI signed,3.5,61070.0,2883.0,57.0
190160,Glenwood Regional Medical Center,OUACHITA,,,,Yes,No,,,,,,
191315,Hardtner Medical Center,LASALLE,CAH,Critical Access Hospital (CAH),Government - Hospital District or Authority,No,No,,,,,,
191309,Hood Memorial Hospital,TANGIPAHOA,CAH,Critical Access Hospital (CAH),Government - Hospital District or Authority,Yes,Yes,Wave 2,Highly Interested,2.0,17240.0,5162.0,32.0
190054,Iberia Medical Center,IBERIA,IPPS,,,Yes,Yes,Wave 1,LOI signed,1.3,57061.0,19189.0,21.0
191317,Jackson Parish Hospital,JACKSON,CAH,Critical Access Hospital (CAH),Government - Hospital District or Authority,No,Yes,Wave 3+,Tentative,1.6,24620.0,2155.0,27.0
191325,Lady of the Sea General Hospital,LAFOURCHE,CAH,Critical Access Hospital (CAH),Government - Hospital District or Authority,No,Yes,Wave 2,Meeting pending,2.3,12955.0,3151.0,12.0
191321,Lallie Kemp Medical Center,TANGIPAHOA,CAH,Critical Access Hospital (CAH),Government - State,No,No,,,,,,
190020,Lane Regional Medical Center,EAST BATON ROUGE,,,,Yes,No,,,,,,
190145,Lasalle General Hospital,LASALLE,IPPS,Small Rural,,No,No,,,,,,
191314,Madison Parish Hospital,MADISON,CAH,Critical Access Hospital (CAH),Government - Hospital District or Authority,No,No,,,,,,
190167,Mercy Regional Medical Center,EVANGELINE,IPPS,Other Rural,,No,No,,,,,,
190144,Minden Medical Center,WEBSTER,RRC,Other Rural,,No,No,,,,,,
190116,Morehouse General Hospital,MOREHOUSE,IPPS,Small Rural,,No,Yes,Wave 3+,Interested,,37144.0,9520.0,40.0
190007,Natchitoches Regional Medical Center,NATCHITOCHES,SCH,Sole Community Hospital (SCH)/Small Rural,,No,No,,,,,,
191304,North Caddo Memorial Hospital,CADDO,CAH,Critical Access Hospital (CAH),Government - Hospital District or Authority,No,No,,,,,,
190086,Northern Louisiana Medical Center,LINCOLN,RRC,Other Rural,,No,No,,,,,,
190106,Oakdale Community Hospital,ALLEN,IPPS,Small Rural,,No,No,,,,,,
191322,Ochsner Abrom Kaplan Memorial Hospital,VERMILION,CAH,Critical Access Hospital (CAH),Voluntary non-profit - Private,No,No,,,,,,
190044,Ochsner Acadia General Hospital,ACADIA,IPPS,,,No,No,,,,,,
190053,Ochsner American Legion Hospital,JEFFERSON DAVIS,IPPS,Small Rural,,No,No,,,,,,
191302,Ochsner St Martin Hospital,ST MARTIN,CAH,Critical Access Hospital (CAH),Voluntary non-profit - Private,No,No,,,,,,
190014,Ochsner St Mary,ST MARY,SCH,Sole Community Hospital (SCH)/Other Rural,,No,No,,,,,,
191324,Ochsner St. Anne General Hospital,LAFOURCHE,CAH,Critical Access Hospital (CAH),Voluntary non-profit - Other,No,No,,,,,,
190017,Opelousas General Health System,ST LANDRY,RRC,,,Yes,Yes,Wave 1,LOI signed,20.0,91069.0,25656.0,327.0
190312,Our Lady of the Angels Hospital,WASHINGTON,IPPS,Other Rural,,No,No,,,,,,
191316,Pointe Coupee General Hospital,POINTE COUPEE,CAH,Critical Access Hospital (CAH),Government - Hospital District or Authority,Yes,No,,,,,,
191326,Reeves Memorial Medical Center,UNION,CAH,Critical Access Hospital (CAH),Government - Hospital District or Authority,Yes,Yes,Wave 1,LOI signed,1.2,31493.0,2805.0,20.0
190151,Richardson Medical Center,RICHLAND,IPPS,Small Rural,,Yes,Yes,Wave 3+,Leaning to FMOL,0.9,27327.0,3169.0,14.0
191323,Richland Parish Hospital-Delhi,RICHLAND,CAH,Critical Access Hospital (CAH),Government - Hospital District or Authority,Yes,No,,,,,,
191313,Riverside Medical Center - Franklinton,WASHINGTON,CAH,Critical Access Hospital (CAH),Government - Hospital District or Authority,No,Yes,Wave 3+,Tentative,0.5,34994.0,1390.0,9.0
190218,Sabine Medical Center,SABINE,SCH,Sole Community Hospital (SCH)/Small Rural,,No,No,,,,,,
190025,Savoy Medical Center,EVANGELINE,IPPS,Other Rural,,Yes,No,,,,,,
190088,Springhill Medical Center,WEBSTER,SCH,Sole Community Hospital (SCH)/Small Rural,,Yes,Yes,Wave 3+,Tentative,5.6,35212.0,4548.0,91.0
190079,St Charles Hospital - Luling,ST CHARLES,,Small Rural,,No,No,,,,,,
190308,St. Bernard Parish Hospital,ST BERNARD,,Small Rural,,No,No,,,,,,
191300,St. Helena Parish Hospital,ST HELENA,CAH,Critical Access Hospital (CAH),Government - Hospital District or Authority,Yes,No,,,,,,
191305,St. James Parish Hospital,ST JAMES,CAH,Critical Access Hospital (CAH),Government - Hospital District or Authority,Yes,No,,,,,,
191318,Trinity Medical,CONCORDIA,CAH,Critical Access Hospital (CAH),Government - Hospital District or Authority,No,Yes,Wave 2,Interested,0.9,14558.0,1916.0,15.0
191301,Union General Hospital,UNION,CAH,Critical Access Hospital (CAH),Voluntary non-profit - Private,No,No,,,,,,
191308,West Ascension Parish Hospital,ASCENSION,CAH,Critical Access Hospital (CAH),Government - Hospital District or Authority,Yes,No,,,,,,
190013,West Calcasieu Cameron Parish Hospital,CALCASIEU,,,,Yes,Yes,Wave 1,LOI signed,2.1,58433.0,8369.0,35.0
190081,West Carroll Memorial Hospital,WEST CARROLL,CAH,Critical Access Hospital (CAH),Proprietary,No,Yes,Wave 2,Highly Interested,1.0,53360.0,4983.0,16.0
191306,West Feliciana Parish Hospital,WEST FELICIANA,CAH,Critical Access Hospital (CAH),Government - Hospital District or Authority,Yes,Yes,Wave 2,Meeting pending,2.3,60601.0,2060.0,38.0
190090,Winn Parish Medical Center,WINN,IPPS,Small Rural,,No,No,,,,,,
